Arabic Lemma,Arabic Definition,English Lemma or Gap,English Definition
فول صويا,نبات حولي من الفصيلة القرنية يزرع لبذوره الغنية وأيضا كعلف للماشية,"soy, soybean, soya, soya_bean", the most highly proteinaceous vegetable known; the fruit of the soybean plant is used in a variety of foods and as fodder (especially as a replacement for animal protein) 
مقددات, مواد غذائية مجففة ومحفوظة بالملح,GAP,
قريش,نوع من الجبن يابس قليل الدسم ," cottage_cheese, pot_cheese, farm_cheese, farmers_cheese ", mild white cheese made from curds of soured skim milk 
قرع,"جنس نباتات زراعية من الفصيلة القرعية، فيه أنواع تزرع لثمارها وتؤكل مطبوخة",pumpkin, usually large pulpy deep-yellow round fruit of the squash family maturing in late summer or early autumn 
مشروب قرفة,"هو مشروب ساخن مصنوع من القرفة، وهو نوع من التوابل التي تصنع من اللحاء الداخلي لأشجار القرفة. ",GAP,
قرنيات," فصيلة نباتات من ذوات الفلقتين تشتمل على نباتات عديدة، يستخدم معظمها إما غذاء للإنسان وإما علفا للحيوان وإما في الصناعة، منها- الفول والحمص والعدس والبرسيم",legume, the seedpod of a leguminous plant (such as peas or beans or lentils) 
قشدة,"زبدةٌ رقيقةٌ وهي مادة أخف من الحليب تكون فوقه، بيضاء اللون دسمة لذيذة الطعم ",cream, the part of milk containing the butterfat 
ماء مقطر,الماء النقي الخالي من الأملاح والعوالق وينتج عن تكثيف بخار الماء,lithia_water, mineral water containing lithium salts 
شيش كباب,طعام يتكون من قطع اللحم المتبل المشوي على أسياخ مع الخضار,"kabob, kebab, shish_kebab", cubes of meat marinated and cooked on a skewer usually with vegetables 
لفت مخلل,"هو نوع شائع من المخلل، ويصنع من اللفت.",GAP,
جزر مخلل,"هو نوع شائع من المخلل، ويصنع من الجزر.",GAP,
كرفس مخلل,"هو نوع شائع من المخلل، ويصنع من الكرفس.",GAP,
كشري,طعام يصنع من الرز والعدس مقشورا أو غير مقشور بالإضافة إلى المكرونة,GAP,
كشري عادي,"هو النوع الأكثر شيوعا من الكشري، ويصنع من الأرز والمعكرونة والحمص والفول والبطاطس والصلصة الحمراء.",GAP,
كشري باللحم,"هو نوع من الكشري يضاف إليه اللحم، مثل لحم الضأن أو الدجاج أو اللحم البقري.",GAP,
كشري بالدجاج,هو نوع من الكشري يضاف إليه الدجاج.,GAP,
شوربة,طعام مائع من الرز أو العدس أو الخضر,soup, liquid food especially of meat or fish or vegetable stock often containing pieces of solid food 
شوربة شعيرية,"هي نوع من الشوربات التي تتكون من شعيرية مسلوقة في مرق. يمكن إضافة مجموعة متنوعة من المكونات إلى شوربة الشعيرية، مثل الخضار واللحوم والدواجن والأسماك.",GAP,
شوربة زغاليل,"هي نوع من الشوربات التي تتكون من زغاليل مسلوقة في مرق. يمكن إضافة مجموعة متنوعة من المكونات إلى شوربة الزغاليل، مثل الخضار واللحوم والدواجن والأسماك.",GAP,
ماجي,"هو نوع من التوابل السائلة التي تستخدم لتحسين نكهة الأطباق. يتكون ماجي من مجموعة متنوعة من المكونات، بما في ذلك الملح والسكر والبهارات. أمثلة: يمكن استخدام ماجي في الحساء والصلصات والمرق واليخنات والسلطات والسندويشات.",bouillon_cube, a cube of evaporated seasoned meat extract 
شوربة حمراء,"هي نوع من الشوربة التي تتكون من مرق غني باللون الأحمر. يمكن أن تكون مصنوعة من مجموعة متنوعة من المكونات، بما في ذلك الطماطم واللحم والخضروات. أمثلة: شوربة الطماطم، شوربة العدس الحمراء، شوربة الفاصوليا الحمراء، شوربة اللحم الحمراء",GAP,
شوربة فريكة,"هي نوع من الشوربات التي تتكون من فريكة مسلوقة في مرق. يمكن إضافة مجموعة متنوعة من المكونات إلى شوربة الفريكة، مثل الخضار واللحوم والدواجن والأسماك.",GAP,
شوربة خضراء,"هي نوع من الشوربة التي تتكون من مرق غني باللون الأخضر. يمكن أن تكون مصنوعة من مجموعة متنوعة من المكونات، بما في ذلك الخضروات الورقية مثل السبانخ والكرنب والبروكلي. أمثلة: شوربة السبانخ، شوربة الكرنب، شوربة البروكلي، شوربة الخضار",GAP,
مرقة باميا,"نوع من الشوربة التي تتكون من مرق غني باللون الأصفر تؤكل مع رز. تصنع مرقة الباميا عادة من الباميا واللحم والخضروات. أمثلة: شوربة الباميا باللحم، شوربة الباميا بالدجاج، شوربة الباميا بالخضروات",GAP,
مرقة بازبلاء," نوع من الشوربة التي تتكون من البازيلاء والمرق والخضروات  تؤكل مع رز. مرقة البازيلاء هي شوربة نباتية تقليدية في العديد من البلدان. أمثلة: شوربة البزلاء باللحم، شوربة البزلاء بالدجاج، شوربة البزلاء بالخضروات",pea_soup, a thick soup made of dried peas (usually made into a puree) 
شوربة عدس,"نوع من الشوربة التي تتكون من العدس والمرق والخضروات. شوربة العدس هي شوربة نباتية تقليدية في العديد من البلدان. أمثلة: شوربة العدس باللحم، شوربة العدس بالدجاج، شوربة العدس بالخضروات",lentil_soup, made of stock and lentils with onions carrots and celery 
شوربة مطعم,"نوع من الشوربة التي يتم تقديمها في المطاعم. يمكن أن تكون الشوربة المطعم مصنوعة من مجموعة متنوعة من المكونات، بما في ذلك اللحوم والدواجن والأسماك والخضروات. أمثلة: شوربة المطعم بالدجاج، شوربة المطعم باللحم، شوربة المطعم بالخضروات",GAP,
شوربة بطاطا,"نوع من الشوربة التي تتكون من البطاطا والمرق والخضروات. شوربة البطاطا هي شوربة نباتية تقليدية في العديد من البلدان. أمثلة: شوربة البطاطا باللحم، شوربة البطاطا بالدجاج، شوربة البطاطا بالخضروات",GAP,
مرقة سبانخ,"مرقة السبانخ هي نوع من الشوربة التي تتكون من السبانخ والمرق والخضروات تؤكل مع رز. مرقة السبانخ هي شوربة نباتية تقليدية في العديد من البلدان. أمثلة: شوربة السبانخ باللحم، شوربة السبانخ بالدجاج، شوربة السبانخ بالخضروات",GAP,
وجبة مطعم," وجبة يتم تقديمها في مطعم. يمكن أن تكون وجبة المطعم عبارة عن مجموعة متنوعة من الأطباق، بما في ذلك الحساء والصلصات والمرق واليخنات والسلطات والسندويشات.",special, a dish or meal given prominence in e.g. a restaurant 
مرق حبش,"هو سائل مصنوع من غلي الحبش في الماء. يمكن أن يستخدم مرق الحبش كقاعدة لتحضير مجموعة متنوعة من الأطباق، مثل الشوربة والصلصات والمرق.",turkey_stew, a stew made with turkey 
مرق دجاج,"هو سائل مصنوع من غلي الدجاج في الماء. يمكن أن يستخدم مرق الدجاج كقاعدة لتحضير مجموعة متنوعة من الأطباق، مثل الشوربة والصلصات والمرق.",chicken_stew, a stew made with chicken 
مرق لحم,"هو سائل مصنوع من غلي اللحم في الماء. يمكن أن يستخدم مرق اللحم كقاعدة لتحضير مجموعة متنوعة من الأطباق، مثل الشوربة والصلصات والمرق.",beef_stew, a stew made with beef 
مرق بطاطا,"سائل مصنوع من غلي البطاطا في الماء. يمكن أن يستخدم مرق البطاطا كقاعدة لتحضير مجموعة متنوعة من الأطباق، مثل الشوربة والصلصات والمرق.",GAP,
مرق بصل,"سائل مصنوع من غلي البصل في الماء. يمكن أن يستخدم مرق البصل كقاعدة لتحضير مجموعة متنوعة من الأطباق، مثل الشوربة والصلصات والمرق.",GAP,
شوربة خضار,"نوع من الشوربة المصنوعة من مجموعة متنوعة من الخضروات. يمكن أن تكون شوربة الخضار بسيطة أو غنية بالنكهات، اعتمادا على المكونات المستخدمة.","petite_marmite, minestrone, vegetable_soup", soup made with a variety of vegetables 
ملفوف محشي,طبق من أوراق الملفوف المحشوة بحشوة مصنوعة من الأرز والخضروات واللحوم أو الدجاج. يمكن تقديم ملفوف محشي كطبق رئيسي أو طبق جانبي.,stuffed_cabbage, parboiled head of cabbage scooped out and filled with a hash of chopped e.g. beef or ham and baked; served with tomato or cheese sauce 
يقطين محشي,طبق من اليقطين المحشو بحشوة مصنوعة من الأرز والخضروات واللحوم أو الدجاج. يمكن تقديم اليقطين المحشي كطبق رئيسي أو طبق جانبي.,GAP,
فلفل محشي,طبق من الفلفل المحشو بحشوة مصنوعة من الأرز والخضروات واللحوم أو الدجاج. يمكن تقديم الفلفل المحشي كطبق رئيسي أو طبق جانبي.,stuffed_peppers, parboiled green peppers stuffed usually with rice and meat and baked briefly 
مرق ثوم,"سائل مصنوع من غلي الثوم في الماء. يمكن أن يستخدم مرق الثوم كقاعدة لتحضير مجموعة متنوعة من الأطباق، مثل الشوربة والصلصات والمرق.",GAP,
كوسا محشي,"طبق شعبي في العديد من البلدان العربية، ويصنع من الكوسا المحشوة بخليط من الأرز واللحم المفروم والتوابل. يسلق في شوربة البندورة المغلية.",GAP,
سوشي,"طبق ياباني يتكون من أرز ملفوف في أعشاب البحر ، ويحتوي عادة على حشوة من السمك النيء أو المشوي أو المخلل أو الخضروات. يمكن تقديم السوشي كطبق رئيسي أو وجبة خفيفة.",sushi, rice (with raw fish) wrapped in seaweed 
تاكوس عجل,"طبق مكسيكي يتكون من عجينة التورتيلا محشوة بلحم البقر المشوي أو المقلي، وعادة ما يتم تقديمه مع صوص الطماطم أو الفلفل الحار أو الجبن.",taco, a tortilla rolled cupped around a filling 
تاكوس دجاج,"طبق مكسيكي يتكون من عجينة التورتيلا محشوة بلحم الدجاج المشوي أو المقلي، وعادة ما يتم تقديمه مع صوص الطماطم أو الفلفل الحار أو الجبن.",chicken_taco, a taco with a chicken filling 
وجبة سريعة,"وجبة يتم تحضيرها بسرعة وسهولة، عادة في مطعم أو مقهى. يمكن أن تكون الوجبات السريعة عبارة عن برغر أو دجاج مقلي أو بيتزا أو غيرها من الأطعمة الجاهزة.",fast_food, inexpensive food (hamburgers or chicken or milkshakes) prepared and served quickly 
لحم أرنب,"لحم حيوان الأرنب، وهو حيوان ثديي صغير يشبه القوارض. يعد لحم الأرنب مصدرا جيدا للبروتين وانخفاض نسبة الدهون. يتميز لحم الأرنب بمذاق غني وقوي، وله نكهة تشبه نكهة لحم الغزال. كما أنه من اللحم الطري، مما يجعله مناسبا للطهي بعدة طرق، مثل الشوي أو القلي أو السلق.","rabbit, hare", flesh of any of various rabbits or hares (wild or domesticated) eaten as food 
منسف,"طبق عربي تقليدي يتكون من أرز مغلي مع اللبن الزبادي، ولحم الضأن المشوي، وطبقة من الصنوبر المقلي. يمكن تقديم المنسف كطبق رئيسي أو وجبة احتفالية.",GAP,
وليمة,"هي وجبة كبيرة رسمية يتم تقديمها في المناسبات الخاصة، مثل حفلات الزفاف أو أعياد الميلاد أو الاحتفالات الدينية. عادة ما تكون الولائم عبارة عن مجموعة متنوعة من الأطباق الشهية التي تقدم للضيوف.",GAP,
مأدبة,وليمة طعام تعد لعرس,GAP,
نقيعة, طعامٌ يصنع للقادم من السفر أو للرجل ليلة عرسه,GAP,
هضيمة,"طعام المأتم  مثال""وزعنا الهضيمة على المساكين""",GAP,
فول صويا جاف,حبوب فول الصويا غير المطبوخة أو غير المعالجة. وفول الصويا هو نوع من البقوليات التي تزرع في جميع أنحاء العالم. وهو مصدر جيد للبروتين والألياف والفيتامينات والمعادن.,"soy, soybean, soya, soya_bean", the most highly proteinaceous vegetable known; the fruit of the soybean plant is used in a variety of foods and as fodder (especially as a replacement for animal protein) 
حمص مطحون,عبارة عن حبوب الحمص المطحونة إلى عجينة ناعمة. ,GAP,
حمص مع شاورما,"طبق شهي يتكون من الحمص المطبوخ والمطحون مع الشاورما المشوية. ويقدم هذا الطبق عادة مع الخبز العربي أو الفطائر أو الأرز. يعد طبق الحمص مع الشاورما من الأطباق الشعبية في العديد من البلدان العربية، وخاصة في سوريا ولبنان والأردن.",GAP,
حمص مسلوق,طبق جانبي لذيذ يتكون من الحمص المطحون المسلوق مع البصل والثوم.,"chickpea, garbanzo", large white roundish Asiatic legume; usually dried 
حمص بالطحينة,طبق شهي يتكون من الحمص المطحون والطحينة والليمون والثوم.,GAP,
حمص,"نوع من البقوليات التي تزرع في جميع أنحاء العالم. وهو مصدر جيد للبروتين والألياف والفيتامينات والمعادن. يعرف الحمص أيضا باسم ""حب الحمص"" أو ""الفول الحمص"". وهو حبوب صغيرة بيضاوية الشكل، ذات لون بني مائل إلى أخضر.","hummus, humus, hommos, hoummos, humous"," a thick spread made from mashed chickpeas, tahini, lemon juice and garlic; used especially as a dip for pita; originated in the Middle East "
حمص مع لحمة مفرومة,طبق شهي يتكون من الحمص المطبوخ والمطحون مع اللحم المفروم المطبوخ. ويقدم هذا الطبق عادة مع الخبز العربي أو الفطائر أو الأرز.,GAP,
ترمس,"نوع من البقوليات التي تزرع في جميع أنحاء العالم. وهو مصدر جيد للبروتين والألياف والفيتامينات والمعادن. يعرف الترمس أيضا باسم ""حب الترمس"" أو ""الفول الترمس"". وهو حبوب صغيرة مستطيلة الشكل، ذات لون بني مائل إلى أصفر.",GAP,
فلافل,"طبق تقليدي في الشرق الأوسط، وهو عبارة عن كرات صغيرة مصنوعة من الحمص المطحون والبصل والثوم والكزبرة. ويمكن أيضا إضافة بعض التوابل الأخرى إلى الفلافل، مثل الكمون والفلفل الأسود.","falafel, felafel", small croquette of mashed chick peas or fava beans seasoned with sesame seeds 
ترمس مسلوق,,GAP,
فلافل مع فول,طبق شهي يتكون من الفلافل المقلي مع الفول المدمس. ويقدم هذا الطبق عادة مع الطحينة والليمون والخبز العربي,GAP,
فلافل مع حمص,طبق شهي يتكون من الفلافل المقلي مع الحمص المطحون. ويقدم هذا الطبق عادة مع الطحينة والليمون والخبز العربي.,GAP,
ساندويتش فلافل,"عبارة عن خبز عربي محشو بالفلافل المقلي والطحينة والليمون والملح والفلفل. ويعد ساندويتش الفلافل من الأطباق الشعبية في العديد من البلدان العربية، وخاصة في سوريا ولبنان والأردن.",GAP,
ساندويتش فلافل طعج,"عبارة عن خبز عربي محشو بالفلافل المقلي والطحينة والليمون والملح والفلفل، ثم يطوى إلى نصفين. ",GAP,
عدس,"نبات من الفصيلة القرنية، ثمره حبٌ صغير مستدير مفرطح يعرف بالعدس الأحمر إذا كان مقشورا، وبالعدس أبو جبة إذا لم يقشر، يؤكل مطبوخا",lentil, round flat seed of the lentil plant used for food 
عدس مسلوق,العدس الذي يتم تناوله كطبق جانبي أو إضافته إلى السلطات أو الحساء.,GAP,
عدس مطحون (الأصفر),عبارة عن العدس الذي يتم طحنه حتى يصبح ناعما. ,GAP,
عدس غير مطحون (البني),عبارة عن العدس الذي لم يتم طحنه بعد. يعرف أيضا باسم العدس البني الكامل أو العدس الحب.,GAP,
عدس مطبوخ,  العدس الذي تم طهيه مع الخضار أو اللحوم أو الدجاج.,GAP,
مجدرة,"طبق من مأكولات بلاد الشام، ومكوناته الأساسية هي العدس والأرز، وأحيانا تصنع بالبرغل بديلا عن الأرز، ويضاف إليها شرائح مقلية من البصل. المجدرة من الأطباق الشعبية في سوريا ولبنان والأردن وفلسطين.",GAP,
بازيلاء,"نوع من الخضار الورقية التي تنتمي إلى عائلة البقوليات. يزرع البازيلاء في جميع أنحاء العالم، ويعتبر من الأطعمة الأساسية في العديد من البلدان.",pea, seed of a pea plant used for food 
بازلاء خضراء طازجة,البازيلاء التي يتم تناولها كطبق جانبي أو إضافتها إلى السلطات أو السندويشات.,"green_pea, garden_pea", fresh pea 
بازلاء خضراء مطبوخة,البازلاء التي يمكن طهي البازيلاء الخضراء مع الخضار أو اللحوم أو الدجاج.,GAP,
بازيلاء جافة,"عبارة عن بذور البازيلاء التي تم حصادها وتجفيفها. تعرف البازيلاء الجافة أيضا باسم ""البازلاء الكاملة"" أو ""البازلاء الحب"". ",split-pea, dried hulled pea; used in soup 
بازلاء خضراء مجمدة,"البازلاء التي يمكن استخدام البازيلاء الخضراء المجمدة في العديد من الأطباق، مثل الحساء واليخنات والسلطات.",GAP,
أوزي مع دجاج,"طبق تقليدي في بلاد الشام، وخاصة في سوريا ولبنان والأردن وفلسطين. يتكون الطبق عادة من الأرز، والدجاج، البازبلاء ، والجزر ، والبهارات، والمكسرات.",GAP,
كبسة,"طبق تقليدي في دول الخليج العربي، وخاصة في السعودية والكويت. يتكون الطبق عادة من الأرز طويل الحبة، واللحم (عادة ما يكون لحم الضأن أو الدجاج)، والبهارات",GAP,
مشروم,"نوع من الفطريات الصالحة للأكل، وهو من الأطعمة الصحية التي يمكن أن تضاف إلى النظام الغذائي اليومي.",mushroom, fleshy body of any of numerous edible fungi 
علبة مشروم,"عبارة عن علبة معدنية أو بلاستيكية تحتوي على مشروم مطبوخ ومعلب. غالبا ما يتم تعليب المشروم في محلول ملحي أو محلول ملحي مع إضافة مكونات أخرى، مثل زيت الزيتون أو الخل أو الثوم.",mushroom, fleshy body of any of numerous edible fungi 
باذنجان,"نبات درني من الفصيلة الباذنجانية، وهو من الخضراوات الموسمية، ويتميز بلونه البنفسجي الداكن أو الأسود.","eggplant, aubergine, mad_apple", egg-shaped vegetable having a shiny skin typically dark purple but occasionally white or yellow 
باذنجان مشوي,"طبق نباتي شائع في العديد من البلدان حول العالم. ويتكون من الباذنجان المقطع إلى شرائح أو مكعبات، والمشوي في الفرن أو على الشواية.",GAP,
باذنجان مهروس," هو طبق نباتي شائع في العديد من البلدان حول العالم. ويتكون من الباذنجان المشوي أو المقلي، المهروس مع بعض المكونات الأخرى، مثل الثوم والبصل والبهارات.",GAP,
باذنجان متبل,"طبق نباتي شائع في العديد من البلدان حول العالم، وخاصة في الشرق الأوسط. ويتكون من الباذنجان المشوي أو المقلي، المهروس مع بعض المكونات الأخرى، مثل الطحينة والثوم والليمون والبهارات.",GAP,
باذنجان محشي,"طبق نباتي شائع في العديد من البلدان حول العالم، وخاصة في الشرق الأوسط. ويتكون من الباذنجان المشوي أو المقلي، المحشو باللحم المفروم والأرز والبصل والثوم والبهارات.",GAP,
فطاير سبانخ,"هي معجنات محشوة بالسبانخ. وهي جزء من المطبخ العربي وتؤكل في العراق، وسوريا، وفلسطين.",GAP,
فطاير جبنة,"هي معجنات محشوة بالجبنة. وهي جزء من المطبخ العربي وتؤكل في العراق، وسوريا، وفلسطين.",GAP,
فطاير زعتر,"هي معجنات محشوة بالزعتر. وهي جزء من المطبخ العربي وتؤكل في العراق، وسوريا، وفلسطين.",GAP,
فطاير حلبة,"هي معجنات محشوة بالحلبة. وهي جزء من المطبخ العربي وتؤكل في العراق، وسوريا، وفلسطين.",GAP,
مناقيش,"هي معجنات مغطاة بالزعتر و زيت الزيتون. وهي جزء من المطبخ العربي وتؤكل في العراق، وسوريا، وفلسطين.",GAP,
فطاير بيض,"هي معجنات مغطاة بالبيض و زيت الزيتون. وهي جزء من المطبخ العربي وتؤكل في العراق، وسوريا، وفلسطين.",GAP,
معجنة نقانق,هي  فطاير محشوة بالنقانق. وهي جزء من المطبخ العربي وتؤكل في فلسطين.,GAP,
معجنة بطاطا,هي  فطاير محشوة بالبطاطا. وهي جزء من المطبخ العربي وتؤكل في فلسطين.,GAP,
ساندويتشة فلافل,"هي كماجة من الخبز محشوة بالفلافل والسلطات، عادة قطع بندورة وخيار",GAP,
ساندويتشة نقانق,هي كماجة من الخبز محشوة بالنقانق والبطاطا,sausage, highly seasoned minced meat stuffed in casings 
ساندويتشة كبدة,"هي كماجة من الخبز محشوة بالكبدة والسلطات، عادة البصل والثوم والفلفل",GAP,
طعام كسكس,"طعام يشيع في المغرب العربي، يتخذ من طحين القمح المفروك، وينضج على البخار",couscous, a spicy dish that originated in northern Africa; consists of pasta steamed with a meat and vegetable stew 
كسكس بسيط,"هو النوع الأكثر شيوعا من الكسكس، ويصنع من حبيبات الكسكس فقط.",couscous, a pasta made in northern Africa of crushed and steamed semolina 
كسكس حلو,هو نوع من الكسكس يصنع من حبيبات الكسكس والسكر والزبدة.,GAP,
كسكس بالدجاج,هو نوع من الكسكس يصنع من حبيبات الكسكس واللحم والدجاج.,GAP,
كسكس بالخضروات,هو نوع من الكسكس يصنع من حبيبات الكسكس والخضروات.,GAP,
فلفل أو فليفلة,"نبات عشبي سنوي من الفصيلة الباذنجانية أنواعه متعددة تنمو في المناطق المعتدلة والحارة، أزهاره بيضاء اللون، وثماره قرون مختلفة الأشكال والأحجام ومليئة بالبذور، تؤكل خضرا ومطبوخة وتابلا حريفا، ومنه نوع لا حرافة فيه",pepper, sweet and hot varieties of fruits of plants of the genus Capsicum 
فلفل حار,"نوع من الفلفل يحتوي على نسبة عالية من مادة الكابسيسين، المسؤولة عن الشعور بالحرقة. ويعد الفلفل الحار من أكثر المحاصيل انتشارا في العالم، ويستخدم في العديد من الأطباق المختلفة، مثل السلطات والشوربات واليخنات والعصائر.",hot_pepper, any of various pungent capsicum fruits 
فلفل شطة,"نوع من الفلفل الحار، ويعرف أيضا باسم الفلفل الحار الأحمر أو الفلفل الحار المكسيكى. وهو أحد أكثر أنواع الفلفل الحار شيوعا في العالم، ويستخدم في العديد من الأطباق المختلفة، مثل السلطات والشوربات واليخنات والعصائر.","chili, chili_pepper, chilli, chilly, chile", very hot and finely tapering pepper of special pungency 
فلفل هبينو,"نوع من الفلفل الحار، ويعرف أيضا باسم الفلفل الأخضر المكسيكي. وهو أحد أكثر أنواع الفلفل الحار شيوعا في العالم، ويستخدم في العديد من الأطباق المختلفة، مثل السلطات والشوربات واليخنات والعصائر.","jalapeno, jalapeno_pepper", hot green or red pepper of southwestern United States and Mexico 
فلفل مخلل,"نوع من المقبلات أو المخللات، ويتكون من الفلفل المقطع إلى شرائح أو مكعبات، المخلل في محلول ملحي أو سائل خل مع إضافة التوابل.",Pickled peppers,"peppers that have been preserved in a solution of vinegar, water, salt, and sometimes sugar."
فلفل بالزيت,"طبق جانبي بسيط وشهي، ويتكون من الفلفل المشوي أو المقلي، ثم يقدم مع زيت الزيتون والملح والفلفل الأسود.",GAP,
"فلفل حلو، أو فلفل رومي","نوع من أنواع الخضروات التي تنتمي إلى الفصيلة الباذنجانية. ويعرف أيضا باسم ""الفلفل البارد"". يتميز الفلفل الحلو بطعمه الحلو، وتحتوي على نسبة عالية من الفيتامينات والمعادن.",GAP,
"بندورة، أو طماطم","نبات من الفصيلة الباذنجانية، وتعتبر من الخضروات الأكثر شعبية في العالم. تزرع البندورة في جميع أنحاء العالم، وتستخدم في العديد من الأطباق المختلفة، مثل السلطات والشوربات واليخنات والمعجنات والصلصات.",tomato, mildly acid red or yellow pulpy fruit eaten as a vegetable 
بندورة شيري,"نوع من الطماطم الصغيرة المستديرة، ويبلغ قطرها حوالي 1-2 سم. تتميز البندورة الشيري بلونها الأحمر أو الأصفر أو البرتقالي، وطعمها الحلو.",cherry_tomato, small red to yellow tomatoes 
كوسا,"نبات من الفصيلة القرعية، وتعتبر من الخضروات الصيفية، وتسمى أيضا القريع. تتميز الكوسا بطعمها الحلو، وتحتوي على نسبة عالية من الماء، مما يجعلها منخفضة السعرات الحرارية. تزرع الكوسا في جميع أنحاء العالم، وتستخدم في العديد من الأطباق المختلفة، مثل السلطات والشوربات واليخنات والمعجنات والصلصات.","zucchini, courgette", small cucumber-shaped vegetable marrow; typically dark green 
كوسا مخشي,"طبق شعبي في العديد من البلدان العربية، ويصنع من الكوسا المحشوة بخليط من اللحم المفروم والمكسرات والتوابل يسلق في شوربة اللبن المغلي.",GAP,
قرع أصفر,"نوع من القرعيات، ويعتبر من الخضروات الصيفية، ويسمى أيضا القرع العسلي. يتميز القرع الأصفر بلونه الأصفر الزاهي وسطحه الملس والمتين، كما يمكن أن يكون كرويا أو بيضويا أو مستطيل الشكل.",yellow_squash, squash having yellow skin and yellowish flesh and usually elongated neck 
كوسا مقلي,"طبق جانبي لذيذ وسهل التحضير، ويتكون من شرائح الكوسا المقلية في الزيت النباتي. يمكن تقديم الكوسا المقلي مع العديد من الأطباق الرئيسية، مثل الدجاج أو اللحم أو السمك.",GAP,
قرع أخضر,"نوع من القرعيات، ويعتبر من الخضروات الصيفية، ويسمى أيضا الكوسا. يتميز القرع الأخضر بلونه الأخضر الفاتح وسطحه الملس والمتين، كما يمكن أن يكون كرويا أو بيضويا أو مستطيل الشكل.",cushaw, globose or ovoid squash with striped grey and green warty rind 
قرع شتوي,"نوع من القرعيات، ويعتبر من الخضروات الخريفية، ويسمى أيضا اليقطين. يتميز القرع الشتوي بلونه الأصفر أو البرتقالي أو الأخضر أو الأبيض وسطحه الخشن، كما يمكن أن يكون كرويا أو بيضويا أو مستطيل الشكل.",winter_squash, any of various fruits of the gourd family with thick rinds and edible yellow to orange flesh that mature in the fall and can be stored for several months 
قرع مسكي,"نوع من القرعيات، ويعتبر من الخضروات الخريفية، ويسمى أيضا القرع العسلي. يتميز القرع المسكي بلونه البرتقالي الداكن وسطحه الخشن، كما يمكن أن يكون كرويا أو بيضويا أو مستطيل الشكل.",pumpkin, usually large pulpy deep-yellow round fruit of the squash family maturing in late summer or early autumn 
عصير خروب,مشروب يصنع من ثمار الخروب,GAP,
خبيصة,نوع من الحلوى يصنع من دقيق وتمر وسمن,GAP,
نقل,ما يتناول مع الشراب من مخللات وفواكه وغيرها,nuts,"a type of dry, hard-shelled fruit or seed that comes from certain plants. They are usually edible and rich in healthy fats, proteins, vitamins, and minerals. Common examples include almonds, walnuts, cashews, and peanuts."
مهلبية, نوع من الحلوى يصنع من الحليب والنشا (أو الأرز المدقوق) والسكر,GAP,
وجبة صندوقية,وجبة طعام توضع في صندوق صغير,GAP,
وجبة كاملة,وجبة تتضمن العناصر الضرورية للجسم,GAP,
وجبة محددة سعر,وجبة طعام كاملة تقدم في مطعم بسعر محدد,GAP,
غذاء متوازن,كميات متناسبة من مواد كربوهيدراتية وبروتين ودهون وفيتامينات ونحوها بحيث تفي باحتياجات الكائن الحي,balanced_diet, a diet that contains adequate amounts of all the necessary nutrients required for healthy growth and activity 
طبق مقلوبة,"هو طبق رئيسي من الأطباق العربية الشعبية، من المطبخ الشامي والعراقي، يتكون من أرز مع خضار مقلية متنوعة، من ضمنها الباذنجان أو القرنبيط أو البطاطا أو الفول، وقد يضاف إليها اللحم أو الدجاج.",GAP,
مقلوبة زهرة,هي نوع من المقلوبة يتم فيها استخدام زهرة القرنبيط بدلا من الباذنجان أو البطاطا أو الفول.,GAP,
مقلوبة بطاطا,هي نوع من المقلوبة يتم فيها استخدام البطاطا بدلا من الباذنجان أو القرنبيط أو الفول.,GAP,
مقلوبة باذنجان,هي نوع من المقلوبة يتم فيها استخدام الباذنجان بدلا من البطاطا أو القرنبيط أو الفول.,GAP,
طبق أوزة,"هو طبق رئيسي من الأطباق العربية الشعبية، من المطبخ الشامي والعراقي، ويتكون من أوزة مشوية مع الأرز والخضار.",GAP,
مقلوبة فول,هي نوع من المقلوبة يتم فيها استخدام الفول بدلا من الباذنجان أو البطاطا أو القرنبيط.,GAP,
مرقة زهرة,هي نوع من المرق يتم إعداده باستخدام زهرة القرنبيط كعنصر أساسي.,GAP,
مرقة بطاطا,هي نوع من المرق يتم إعداده باستخدام البطاطا كعنصر أساسي.,GAP,
مرقة لوبيا,هي نوع من المرق يتم إعداده باستخدام اللوبيا كعنصر أساسي.,GAP,
مرقة فاصولياء,هي نوع من المرق يتم إعداده باستخدام الفاصولياء كعنصر أساسي.,GAP,
طبق مفتول,"هو طبق رئيسي من الأطباق العربية الشعبية، من المطبخ السوري والأردني، ويتكون من المفتول مع اللحم أو الدجاج والخضروات.",GAP,
مرقة فول مع لبن,هي نوع من المرق يتم إعداده باستخدام الفول واللبن كعنصر أساسي.,GAP,
مرقة لبن,هي نوع من المرق يتم إعداده باستخدام اللبن كعنصر أساسي.,GAP,
كبة,لحمٌ يدق ويضاف إليه جريش القمح قبل أن ينضج ويكبب ويطهى,GAP,
كبيبة, لحمٌ يدق ويضاف إليه جريش الأرز أو القمح ويكبب ويطهى,GAP,
كبة لبن,"هو طبق رئيسي من الأطباق العربية الشعبية، من المطبخ السوري والأردني، ويتكون من الكبة مع اللبن والخضروات.",GAP,
