English lemmas,English Definition,Arabic  lemmas or Gap,Arabic Definition
"whole_wheat_flour, graham_flour, graham, whole_meal_flour", flour made by grinding the entire wheat berry including the bran; (`whole meal flour' is British usage) ,GAP,
"frozen_food, frozen_foods", food preserved by freezing ,أطعمة مجمدة, هي أطعمة تم تجميدها للحفاظ عليها طازجة. يمكن أن تكون الأطعمة المجمدة فواكه أو خضار أو لحوم أو أسماك. تتميز الأطعمة المجمدة بمدة صلاحيتها الطويلة وسهولة تحضيرها.
"grain, food_grain, cereal", foodstuff prepared from the starchy grains of cereal grasses ,حبوب,هي بذور النباتات المزروعة التي تستخدم في الغذاء. تتكون الحبوب من ثلاثة أجزاء رئيسية: النخالة والجنين والسويداء. النخالة هي الطبقة الخارجية الصلبة من الحبوب وتحتوي على الألياف. الجنين هو الجزء الصغير الناعم من الحبوب وغني بالفيتامينات والمعادن. السويداء هي الجزء الأكبر من الحبوب وغنية بالكربوهيدرات.
"barley, barleycorn", a grain of barley ,شعير,"نبات عشبي، حبي من الفصيلة النجيلية، وهو دون القمح في الغذاء يقدم علفا للدواب، وقد يصنع منه الخبز، أو ينتقع ليتخذ منه شراب"
pearl_barley, barley ground into small round pellets ,GAP,
"corn, edible_corn", ears of corn that can be prepared and served for human food ,ذرة,"هي نوع من الحبوب ينتمي إلى الفصيلة النجيلية. تعتبر الذرة من المحاصيل الزراعية الرئيسية في العالم. يستخدم الذرة في مجموعة متنوعة من الأطباق، مثل الخبز والمعكرونة والحلويات والوجبات الخفيفة."
buckwheat, grain ground into flour ,حنطة سوداء," هي نوع من الحبوب ينتمي إلى الفصيلة الحنطة السوداءية. تعتبر الحنطة السوداء من الحبوب الكاملة وغنية بالألياف والفيتامينات والمعادن. يستخدم الحنطة السوداء في مجموعة متنوعة من الأطباق، مثل الخبز والمعكرونة والشوربات واليخنات."
hominy, hulled corn with the bran and germ removed ,عصيدة ذرة,"هي عبارة عن دقيق الذرة المطبوخ بالماء أو الحليب، وهي وجبة إفطار تقليدية في العديد من الدول العربية. تحتوي العصيدة على نسبة عالية من الكربوهيدرات، مما يساعد على تزويد الجسم بالطاقة."
lye_hominy, hominy prepared by bleaching in lye ,GAP,
pearl_hominy, hominy prepared by milling to pellets of medium size ,GAP,
popcorn, small kernels of corn exploded by heat ,فشار,هو نوع من الذرة التي تنفجر عندما تسخن في درجة حرارة عالية. يعتبر الفشار من الوجبات الخفيفة الشائعة.
grist, grain intended to be or that has been ground ,GAP,
"sweet_corn, green_corn", corn that can be eaten as a vegetable while still young and soft ,GAP,
groats, the hulled and crushed grain of various cereals ,جريش,"هو نوع من الدقيق المصنوع من الذرة. يستخدم الجريش في مجموعة متنوعة من الأطباق، مثل الحساء واليخنات والكعك."
caraway_seed, aromatic seeds of the caraway plant; used widely as seasoning ,بذور كراوية,"هي بذور صغيرة سوداء تنتجها نبتة الكراوية. تحتوي بذور الكراوية على طعم ورائحة مميزة تشبه طعم ورائحة اليانسون. تستخدم بذور الكراوية في مجموعة متنوعة من الأطباق، مثل المخبوزات والحلويات والمشروبات."
"cardamom, cardamon, cardamum", aromatic seeds used as seasoning like cinnamon and cloves especially in pickles and barbecue sauces ,هيل," هو نبات عشبي ينتمي إلى الفصيلة الزنجبيلية. يحتوي الهيل على طعم ورائحة مميزة تشبه طعم ورائحة الليمون أو البرتقال. يستخدم الهيل في مجموعة متنوعة من الأطباق، مثل المخبوزات والحلويات والمشروبات."
cassareep, a flavoring made by boiling down the juice of the bitter cassava; used in West Indian cooking ,GAP,
"cayenne, cayenne_pepper, red_pepper", a long and often twisted hot red pepper ,فلفل حار,"نوع من الفلفل يحتوي على نسبة عالية من مادة الكابسيسين، المسؤولة عن الشعور بالحرقة. ويعد الفلفل الحار من أكثر المحاصيل انتشارا في العالم، ويستخدم في العديد من الأطباق المختلفة، مثل السلطات والشوربات واليخنات والعصائر."
celery_salt, ground celery seed and salt ,GAP,
celery_seed, seed of the celery plant used as seasoning ,بذور كرفس,"هي بذور صغيرة خضراء تنتجها نبتة الكرفس. تحتوي بذور الكرفس على طعم حار ورائحة مميزة. تستخدم بذور الكرفس في مجموعة متنوعة من الأطباق، مثل الحساء واليخنات والصلصات."
chili_powder, powder made of ground chili peppers mixed with e.g. cumin and garlic and oregano ,بهار حار," هو خليط من التوابل المختلفة التي تعطي نكهة حارة للطعام. يمكن أن يكون البهار حارا جدا أو حارا قليلا. يستخدم البهار الحار في مجموعة متنوعة من الأطباق، مثل الحساء واليخنات والصلصات."
cola_extract, a flavoring extracted from the kola nut ,GAP,
"catsup, ketchup, cetchup, tomato_ketchup", thick spicy sauce made from tomatoes ,كاتشاب,"هو صلصة حمراء كثيفة مصنوعة من الطماطم والسكر والخل. يستخدم الكاتشاب في مجموعة متنوعة من الأطباق، مثل البرغر والسندويشات والبطاطس المقلية."
"chutney, indian_relish", a spicy condiment made of chopped fruits or vegetables cooked in vinegar and sugar with ginger and spices ,GAP,
chili_sauce, tomatoes and onions and peppers (sweet or hot) simmered with vinegar and sugar and various seasonings ,صلصة فلفل حار,"هي صلصة حمراء كثيفة مصنوعة من الفلفل الحار والسكر والخل. تستخدم صلصة الفلفل الحار في مجموعة متنوعة من الأطباق، مثل البرغر والسندويشات والبطاطس المقلية."
cranberry_sauce, sauce made of cranberries and sugar ,GAP,
dip, tasty mixture or liquid into which bite-sized foods are dipped ,غموس,"هو طبق تقليدي في الشرق الأوسط مصنوع من مجموعة متنوعة من المكونات، مثل الحمص والتونة والفلفل الحار. يستخدم الغموس كطبق جانبي أو كمقبلات."
bean_dip, a dip made of cooked beans ,غموس فول, هو نوع من الغموس مصنوع من الحمص المهروس والثوم والليمون والخل. يعتبر غموس الفول من أشهر أنواع الغموس في الشرق الأوسط.
cheese_dip, a dip made of cheeses ,GAP,
clam_dip, a dip made of clams and soft cream cheese ,GAP,
guacamole, a dip made of mashed avocado mixed with chopped onions and other seasonings ,GAP,
"duck_sauce, hoisin_sauce", a thick sweet and pungent Chinese condiment ,GAP,
horseradish, grated horseradish root ,GAP,
mint_sauce, sweetened diluted vinegar with chopped mint leaves ,GAP,
marinade, mixtures of vinegar or wine and oil with various spices and seasonings; used for soaking foods before cooking ,تتبيلة,"هي مزيج من المكونات التي يتم استخدامها لإضافة نكهة للطعام قبل طهيه. يمكن أن تحتوي التتبيلة على مجموعة متنوعة من المكونات، بما في ذلك الخل والزيت والسكر والتوابل."
chinese_mustard, very hot prepared mustard ,GAP,
"mustard, table_mustard", leaves eaten as cooked greens ,صلصة خردل,"هي صلصة مصنوعة من الخردل، مما يعطيها نكهة مميزة. يمكن أن تكون صلصة الخردل مصنوعة من مجموعة متنوعة من المكونات، مثل الخردل والزيت والخل والثوم والأعشاب والتوابل. تستخدم صلصة الخردل في مجموعة متنوعة من الأطباق، مثل السندويشات والسندويشات المفتوح والسلطات."
"powdered_mustard, dry_mustard", a substance such that one to three tablespoons dissolved in a glass of warm water is a homemade emetic ,GAP,
relish, spicy or savory condiment ,GAP,
piccalilli, relish of chopped pickled cucumbers and green peppers and onion ,GAP,
pickle, vegetables (especially cucumbers) preserved in brine or vinegar ,"مخلل ، كبيس",
olive, one-seeded fruit of the European olive tree usually pickled and used as a relish ,زيتون,مخلل ثمار الزيتون في محلول ملحي مع إضافة بعض التوابل والأعشاب لإضفاء نكهة مميزة.
chowchow, chopped pickles in mustard sauce ,GAP,
"black_olive, ripe_olive", olives picked ripe and cured in brine then dried or pickled or preserved canned or in oil ,زيتون أسود,"ثمار الزيتون الناضجة، داكنة اللون وتُستخدم في الطهي أو كطبق جانبي."
green_olive, olives picked green and pickled in brine; infrequently stuffed with e.g. pimento ,زيتون أخضر,"ثمار الزيتون غير الناضجة، خضراء اللون، غالبًا ما تُستخدم في السلطات والمقبلات."
caper, pickled flower buds used as a pungent relish in various dishes and sauces ,GAP,
dill_pickle, pickle preserved in brine or vinegar flavored with dill seed ,GAP,
gherkin, small prickly cucumber ,خيار صغير,"ثمار الخيار التي تكون صغيرة الحجم، وعادة ما تكون بطول 5-10 سم. يكون لونها أخضر فاتح، وطعمها طري ومقرمش. تحتوي هذه الثمار على نسبة عالية من الماء، بالإضافة إلى بعض الفيتامينات والمعادن، مثل فيتامين C والبوتاسيوم. يتم اختيار ثمار الخيار الصغير للمخلل لأنها تكون طرية ومقرمشة، مما يجعلها مثالية للحفاظ عليها عن طريق التخليل. كما أنها تكون صغيرة الحجم، مما يسهل تعبئتها في مرطبانات التخليل."
sweet_pickle, pickle cured in brine and preserved in sugar and vinegar ,GAP,
"puff_paste, pate_feuillete", dough used for very light flaky rich pastries ,عجينة فطائر,"هي عجينة رقيقة تستخدم في صنع الفطائر. تتكون هذه العجينة من الطحين والماء والملح، ويمكن إضافة بعض المكونات الأخرى إليها، مثل البيض أو الحليب أو الزبدة."
phyllo, tissue thin sheets of pastry used especially in Greek dishes ,عجينة فيلو,"هي عجينة رقيقة جدا تستخدم في صنع العديد من الأطباق، مثل الفطائر والبوراك والرقاق. تتكون هذه العجينة من الطحين والماء والملح، ويمكن إضافة بعض المكونات الأخرى إليها، مثل النشا أو الزبدة."
filling, a food mixture used to fill pastry or sandwiches etc. ,حشوة,"هي أي مادة توضع داخل طبق أو طعام. يمكن أن تكون الحشوة مصنوعة من مجموعة متنوعة من المكونات، بما في ذلك اللحوم والخضروات والحبوب والفواكه والسكريات."
lekvar, a sweet filling made of prunes or apricots ,GAP,
mincemeat, spiced mixture of chopped raisins and apples and other ingredients with or without meat ,GAP,
"mix, premix", a commercially prepared mixture of dry ingredients ,خليط, ما اختلط أو امتزج من صنفين أو أصناف مع احتفاظ كل منها بخصائصه المميزة مثل خليط من التوابل
ready-mix, a commercial preparation containing most of the ingredients for a dish ,GAP,
lemonade_mix, a commercial mix for making lemonade ,ليموناضة, هو مشروب مصنوع من عصير الليمون والسكر والماء. يمكن أن تكون الليمونادة مصنوعة من الليمون الطازج أو عصير الليمون المركز. 
cake_mix, a commercial mix for making a cake ,خلطة كيك,"مزيج من المكونات الجافة، مثل الطحين والسكر والخميرة، والمكونات السائلة، مثل البيض والحليب والزبدة، والتي يتم خلطها معا لصنع الكيك"
"self-rising_flour, self-raising_flour", a commercially prepared mixture of flour and salt and a leavening agent ,GAP,
brownie_mix, a commercial mix for making brownies ,GAP,
roux, a mixture of fat and flour heated and used as a basis for sauces ,GAP,
"stuffing, dressing", a mixture of seasoned ingredients used to stuff meats and vegetables ,حشوة دجاج,"هي حشوة يتم استخدامها في أطباق الدجاج، مثل الدجاج المحشي أو الدجاج بالكاري. يمكن أن تكون حشوة الدجاج مصنوعة من مجموعة متنوعة من المكونات، بما في ذلك الأرز أو الخضار أو الفواكه أو اللحوم الأخرى."
"oyster_stuffing, oyster_dressing", stuffing made with oysters ,GAP,
turkey_stuffing, stuffing for turkey ,GAP,
"forcemeat, farce", mixture of ground raw chicken and mushrooms with pistachios and truffles and onions and parsley and lots of butter and bound with eggs ,GAP,
"bean_curd, tofu", cheeselike food made of curdled soybean milk ,GAP,
dairy_product, milk and butter and cheese ,منتجات ألبان,هي مجموعة من المنتجات التي يتم إنتاجها من الحليب. تشمل منتجات الألبان الحليب والزبادي والجبن والقشدة.
curd, a coagulated liquid resembling milk curd ,GAP,
ghee, clarified butter used in Indian cookery ,سمن بلدي, هو نوع من الزبدة مصنوع من الحليب. يختلف السمن البلدي عن الزبدة في أنه يتم صنعه عن طريق غلي الحليب ثم إزالة القشدة. تتميز السمن البلدي بطعمها الغني ومدة صلاحيتها الطويلة.
"brown_butter, beurre_noisette", clarified butter browned slowly and seasoned with vinegar or lemon juice and capers ,GAP,
butter, an edible emulsion of fat globules made by churning milk or cream; for cooking and table use ,زبدة,مادة دهنية تستخرج من اللبن بالمخض
stick, a rectangular quarter pound block of butter or margarine ,GAP,
"clarified_butter, drawn_butter", butter made clear by heating and removing the sediment of milk solids ,GAP,
"meuniere_butter, lemon_butter", clarified butter browned slowly and seasoned with lemon juice and parsley ,GAP,
bavarian_blue, blue cheese of Bavaria ,GAP,
yak_butter, butter made from yaks' milk ,GAP,
cheese, a solid food prepared from the pressed curd of milk ,جبنة,ما جمد من اللبن وصنع بصورة خاصة
danish_blue, blue cheese of Denmark ,GAP,
gorgonzola, Italian blue cheese ,GAP,
"bleu, blue_cheese", cheese containing a blue mold ,GAP,
stilton, English blue cheese ,GAP,
brie, soft creamy white cheese; milder than Camembert ,GAP,
brick_cheese, semisoft sweet American cheese from whole milk in a brick form ,GAP,
roquefort, French blue cheese ,GAP,
sauce_louis, mayonnaise and heavy cream combined with chopped green pepper and green onion seasoned with chili sauce and Worcestershire sauce and lemon juice ,GAP,
"espagnole, sauce_espagnole", brown sauce with tomatoes and a caramelized mixture of minced carrots and onions and celery seasoned with Madeira ,GAP,
thousand_island_dressing, mayonnaise with chili sauce or catsup and minced olives and peppers and hard-cooked egg ,GAP,
gravy, the seasoned but not thickened juices that drip from cooking meats; often a little water is added ,GAP,
hard_sauce, butter and sugar creamed together with brandy or other flavoring and served with rich puddings ,GAP,
hollandaise, eggs and butter with lemon juice ,GAP,
"horseradish_sauce, sauce_albert", creamy white sauce with horseradish and mustard ,GAP,
hot_sauce, a pungent peppery sauce ,صلصة حارة," هي صلصة تحتوي على الفلفل الحار، مما يعطيها نكهة حارة. يمكن أن تكون الصلصة الحارة مصنوعة من مجموعة متنوعة من المكونات، مثل الطماطم والخل والسكر والثوم والأعشاب والتوابل. تستخدم الصلصة الحارة في مجموعة متنوعة من الأطباق، مثل البرغر والسندويشات والبطاطس المقلية."
"tabasco, tabasco_sauce", very hot red peppers; usually long and thin; some very small ,صلصة تاباسكو,"هي صلصة حارة مصنوعة من الفلفل الحار. تستخدم صلصة تاباسكو في مجموعة متنوعة من الأطباق، مثل البرغر والسندويشات والبطاطس المقلية."
"marchand_de_vin, mushroom_wine_sauce", brown sauce with mushrooms and red wine or Madeira ,GAP,
"lyonnaise_sauce, brown_onion_sauce", brown sauce with sauteed chopped onions and parsley and dry white wine or vinegar ,GAP,
"hungarian_sauce, paprika_sauce", veloute sauce with sauteed chopped onion and paprika and cream ,صلصة باربيكا,"هي صلصة مصنوعة من الطماطم والخل والسكر والثوم والأعشاب والتوابل. تستخدم صلصة الباربيكا في مجموعة متنوعة من الأطباق، مثل اللحوم والدواجن والأسماك."
"hunters_sauce, sauce_chausseur", brown sauce and tomato puree with onions and mushrooms and dry white wine ,GAP,
mole, spicy sauce often containing chocolate ,GAP,
mushroom_sauce, brown sauce and sauteed mushrooms ,صلصة مشروم,"هي صلصة مصنوعة من الفطر، مما يعطيها نكهة مميزة. يمكن أن تكون صلصة المشروم مصنوعة من مجموعة متنوعة من المكونات، مثل الفطر والزيت والخل والثوم والأعشاب والتوابل. تستخدم صلصة المشروم في مجموعة متنوعة من الأطباق، مثل المعكرونة والسندويشات والسلطات."
mustard_sauce, sauce of prepared mustard thinned with vinegar and vegetable oil with sugar and seasonings ,صلصة خردل,"هي صلصة مصنوعة من الخردل، مما يعطيها نكهة مميزة. يمكن أن تكون صلصة الخردل مصنوعة من مجموعة متنوعة من المكونات، مثل الخردل والزيت والخل والثوم والأعشاب والتوابل. تستخدم صلصة الخردل في مجموعة متنوعة من الأطباق، مثل السندويشات والسندويشات المفتوح والسلطات."
peach_sauce, for Chinese dishes : peach preserves and chutney ,GAP,
"pepper_sauce, poivrade", for venison :  brown sauce with sauteed vegetables and trimmings and marinade and plenty of pepper ,GAP,
newburg_sauce, lobster butter and cream and egg yolks seasoned with onions and sherry or Madeira ,GAP,
"nantua, shrimp_sauce", white sauce with whipping cream and shrimp butter ,GAP,
plum_sauce, for Chinese dishes : plum preserves and chutney ,GAP,
pesto, a sauce typically served with pasta; contains crushed basil leaves and garlic and pine nuts and Parmesan cheese in olive oil ,GAP,
poulette, allemande sauce with chopped parsley ,GAP,
"ravigote, ravigotte"," veloute sauce seasoned with chopped chervil, chives, tarragon, shallots and capers ",GAP,
remoulade_sauce, a mayonnaise sauce flavored with herbs and mustard and capers; served with e.g. salad and cold meat ,GAP,
smitane, veloute or brown sauce with sauteed chopped onion and dry white wine and sour cream ,GAP,
"soubise, white_onion_sauce", veloute sauce with sauteed chopped onions and whipping cream ,GAP,
snail_butter, for preparing snails :  butter seasoned with shallots and garlic and parsley ,GAP,
"spaghetti_sauce, pasta_sauce", any of numerous sauces for spaghetti or other kinds of pasta ,صلصة معكرونة,"هي صلصة مصنوعة من الطماطم، مما يعطيها نكهة مميزة. يمكن أن تكون صلصة معكرونة مصنوعة من مجموعة متنوعة من المكونات، مثل الطماطم والزيت والخل والثوم والأعشاب والتوابل. تستخدم صلصة معكرونة في مجموعة متنوعة من الأطباق، مثل المعكرونة والسندويشات والسلطات."
bolognese_pasta_sauce, sauce for pasta; contains mushrooms and ham and chopped vegetables and beef and tomato paste ,GAP,
carbonara, sauce for pasta; contains eggs and bacon or ham and grated cheese ,GAP,
marinara, sauce for pasta; contains tomatoes and garlic and herbs ,GAP,
tomato_sauce, sauce made with a puree of tomatoes (or strained tomatoes) with savory vegetables and other seasonings; can be used on pasta ,"صلصة ، معجون بندورة","هي صلصة مصنوعة من الطماطم، مما يعطيها نكهة مميزة. يمكن أن تكون صلصة أو معجون بندورة مصنوعة من مجموعة متنوعة من المكونات، مثل الطماطم والزيت والخل والثوم والأعشاب والتوابل. تستخدم صلصة أو معجون بندورة في مجموعة متنوعة من الأطباق، مثل المعكرونة والسندويشات والسلطات."
"tartare_sauce, tartar_sauce", mayonnaise with chopped pickles and sometimes capers and shallots and parsley and hard-cooked egg; sauce for seafood especially fried fish ,GAP,
veloute, white sauce made with stock instead of milk ,صلصة كريمة," هي صلصة مصنوعة من الكريمة، مما يعطيها قواما كريميا. يمكن أن تكون صلصة الكريمة بالزعتر الليموني مصنوعة من مجموعة متنوعة من المكونات، مثل الكريمة والزعتر والليمون والثوم والأعشاب والتوابل. تستخدم صلصة الكريمة بالزعتر الليموني في مجموعة متنوعة من الأطباق، مثل المعكرونة والسندويشات والسلطات."
camembert, rich soft creamy French cheese ,GAP,
"rat_cheese, store_cheese", informal names for American cheddar ,GAP,
"cheddar, cheddar_cheese, armerican_cheddar, american_cheese", hard smooth-textured cheese; originally made in Cheddar in southwestern England ,جبنة تشيدر,"نوع من الجبن الأصفر أو الأبيض، له نكهة حادة أو معتدلة، ويعود أصله إلى إنجلترا."
cheshire_cheese, a mild yellow English cheese with a crumbly texture ,GAP,
cream_cheese, soft unripened cheese made of sweet milk and cream ,جبنة كريمية,"جبنة ناعمة قابلة للدهن، لها طعم غني وملمس كريمي"
double_cream, fresh soft French cheese containing at least 60% fat ,GAP,
mascarpone, soft mild Italian cream cheese ,GAP,
edam, mild yellow Dutch cheese made in balls encased in a red covering ,GAP,
double_gloucester, a smooth firm mild orange-red cheese ,GAP,
"gouda, gouda_cheese", mild cream-colored Dutch cheese shaped in balls ,GAP,
grated_cheese, hard or semihard cheese grated ,جبن مبشور,"هو جبن تم سحقه إلى قطع صغيرة. يستخدم الجبن المبشور في مجموعة متنوعة من الأطباق، مثل البيتزا والمعكرونة والسلطات."
"goat_cheese, chevre", made from goats' milk ,جبن ماعز, نوع من أنواع الجبن يصنع من لبن الماعز يتميز برطوبة عالية وأحماض قليلة.
hand_cheese, any cheese originally molded by hand ,جبنة بلدية,هي جبن مصنوع من حليب الحيوانات المحلية. تتميز جبنة بلدية بطعمها الغني ونكهاتها الطبيعية.
limburger, a soft white cheese with a very strong pungent odor and flavor ,GAP,
liederkranz, a soft cheese with a strong odor and flavor ,GAP,
mozzarella, mild white Italian cheese ,جبنة موزاريلا,"نوع من الجبن الإيطالي الطري، يتميز بلونها الأبيض وطعمها الكريمي. يتم إنتاجها عن طريق تخمير الحليب باستخدام البكتيريا والخمائر، مما يؤدي إلى إنتاج حمض اللاكتيك. هذا الحمض يعطي الجبنة طعمها الكريمي. ثم يتم سحب الجبنة من الحليب، ويتم تشكيلها إلى كرات أو قضبان."
muenster, semisoft pale-yellow cheese ,GAP,
parmesan, hard dry sharp-flavored Italian cheese; often grated ,جبنة بارميزان,"نوع من الجبن الإيطالي الصلب المصنوع من حليب البقر الخام. يتميز بلونه الأصفر الذهبي وقوامه الحاد وطعمه المالح. يتم تصنيعها عن طريق تخمير الحليب باستخدام أنواع محددة من البكتيريا والخمائر، مما يؤدي إلى إنتاج حمض اللاكتيك. هذا الحمض يعطي جبنة البارميزان طعمها الحاد والمالح. ثم يتم الضغط على الجبنة لإزالة الرطوبة، ويتم تجفيفها لمدة تصل إلى 3 سنوات."
"process_cheese, processed_cheese", made by blending several lots of cheese ,GAP,
"quark_cheese, quark"," fresh unripened cheese of a smooth texture made from pasteurized milk, a starter, and rennet ",GAP,
ricotta, soft Italian cheese like cottage cheese ,GAP,
string_cheese, cheese formed in long strings twisted together ,GAP,
swiss_cheese, hard pale yellow cheese with many holes from Switzerland ,GAP,
"emmenthal, emmental, emmenthaler, emmentaler", Swiss cheese with large holes ,GAP,
gruyere, Swiss cheese with small holes ,GAP,
"triple_cream, triple_creme", fresh soft French cheese containing at least 72% fat ,GAP,
sapsago, a hard green Swiss cheese made with skim-milk curd and flavored with clover ,GAP,
velveeta, trademark: soft processed American cheese ,GAP,
"clotted_cream, devonshire_cream", thick cream made from scalded milk ,GAP,
clabber, raw milk that has soured and thickened ,GAP,
"double_creme, heavy_whipping_cream", cream with a fat content of 48% or more ,قشطة,"هي منتج ألبان مصنوع من حليب الحيوانات المجترة. تتكون القشدة من الدهون والسكريات والماء في الحليب. يمكن استخدام القشدة في مجموعة متنوعة من الأطباق، مثل الحلويات والشوربات والصلصات."
heavy_cream, contains more than 36% butterfat ,GAP,
"light_cream, coffee_cream, single_cream", cream that has at least 18% butterfat ,GAP,
"sour_cream, soured_cream", artificially soured light cream ,GAP,
"whipping_cream, light_whipping_cream", cream that has enough butterfat (30% to 36%) to be whipped ,كريمة الخفق,"كريمة سائلة كثيفة تُستخدم في الطهي والحلويات، وتُخفق حتى تصبح خفيفة وهشة"
pea_flour, meal made from dried peas ,GAP,
pinole, meal made of finely ground corn mixed with sugar and spices ,GAP,
"coconut_milk, coconut_cream", clear to whitish fluid from within a fresh coconut ,حليب جوز هند,"سائل حليبي يستخرج من لب جوز الهند، يستعمل شرابا وفي بعض الأطعمة"
formula, a liquid food for infants ,حليب رضع صناعي,هو حليب مصنوع من مسحوق حليب البقر أو الصويا أو النباتات الأخرى. يستخدم حليب الرضع الصناعي لتغذية الأطفال الذين لا يستطيعون الرضاعة الطبيعية.
"coconut_milk, coconut_water", clear to whitish fluid from within a fresh coconut ,حليب جوز هند,"سائل حليبي يستخرج من لب جوز الهند، يستعمل شرابا وفي بعض الأطعمة"
"soya_milk, soybean_milk, soymilk", a milk substitute containing soybean flour and water; used in some infant formulas and in making tofu ,GAP,
"perishable, spoilable", food that will decay rapidly if not refrigerated ,GAP,
"roughage, fiber"," coarse, indigestible plant food low in nutrients; its bulk stimulates intestinal peristalsis ",GAP,
bran, food prepared from the husks of cereal grains ,نخالة,هي قشرة الحبوب التي يتم فصلها عن الحبوب أثناء الطحن. تعتبر النخالة مصدرا جيدا للألياف والفيتامينات والمعادن. يمكن استخدام النخالة كعلف للحيوانات المجترة أو كغذاء للإنسان.
starches," foodstuff rich in natural starch (especially potatoes, rice, bread) ",نشويات,الأغذية التي تحتوي على نسبة عالية من النشا كالبطاطا والخبز والبطاطس وغيرها
"bread, breadstuff, staff_of_life", food made from dough of flour or meal and usually raised with yeast or baking powder and then baked ,خبز,ما يصنع من الدقيق المعجون وينضج بالنار أو الحرارة بعد تخميره
anadama_bread, a yeast-raised bread made of white flour and cornmeal and molasses ,GAP,
"brown_bread, boston_brown_bread", bread made with whole wheat flour ,خبز أسمر,"خبز المصنوع من دقيق الحبوب الكاملة كمكون أساسي، عادة القمح، وأحيانا من مكونات ذات ألوان داكنة مثل دبس السكر أو القهوة."
"breadstick, bread-stick", a crisp stick-shaped roll; often served with soup ,خبز مقرمش,خبز مقلي بالزيت بعض الاحيان يضاف على السلطات مثل الفتوش
barmbrack, a rich currant cake or bun ,GAP,
grissino, a long slender crusty breadstick ,GAP,
bap, a small loaf or roll of soft bread ,GAP,
"bun, roll", small rounded bread either plain or sweet ,GAP,
onion_bagel, bagel flavored with onion ,GAP,
"bagel, beigel", (Yiddish) glazed yeast-raised doughnut-shaped roll with hard crust ,GAP,
brioche, a light roll rich with eggs and butter and somewhat sweet ,GAP,
clover-leaf_roll, yeast-raised dinner roll made by baking three small balls of dough in each cup of a muffin pan ,GAP,
"frankfurter_bun, hotdog_bun", a long bun shaped to hold a frankfurter ,GAP,
"crescent_roll, croissant", very rich flaky crescent-shaped roll ,الكرواسان,مخبوز فرنسي على شكل هلال مصنوع من عجينة طبقات مليئة بالزبدة
"bialy, bialystoker", flat crusty-bottomed onion roll ,GAP,
onion_roll, yeast-raised roll flavored with onion ,GAP,
"hamburger_bun, hamburger_roll", a round bun shaped to hold a hamburger patty ,خبز همبرغر,خبز دائري طري يستخدم لتقديم شطائر البرغر
"hard_roll, vienna_roll", yeast-raised roll with a hard crust ,GAP,
kaiser_roll, rounded raised poppy-seed roll made of a square piece of dough by folding the corners in to the center ,GAP,
parker_house_roll, yeast-raised dinner roll made by folding a disk of dough before baking ,GAP,
"sweet_roll, coffee_roll", any of numerous yeast-raised sweet rolls with our without raisins or nuts or spices or a glaze ,GAP,
soft_roll, yeast-raised roll with a soft crust ,GAP,
"cross_bun, hot_cross_bun", moderately sweet raised roll containing spices and raisins and citron and decorated with a cross-shaped sugar glaze ,GAP,
"bear_claw, bear_paw", almond-flavored yeast-raised pastry shaped in an irregular semicircle resembling a bear's claw ,GAP,
"cinnamon_roll, cinnamon_bun, cinnamon_snail", rolled dough spread with cinnamon and sugar (and raisins) then sliced before baking ,كعكة سينامون رول,هي كعكة محشوة بالقرفة والسكر.
thyme, leaves can be used as seasoning for almost any meat and stews and stuffings and vegetables ,زعتر,"نبات طيب الرائحة يجفف وتخلط معه بعض التوابل والسمسم، ويؤكل مع الزيت، وزهره أبيض يميل إلى الغبرة."
juniper_berries, berrylike cone of a common juniper; used in making gin ,GAP,
lemon_oil, fragrant yellow oil obtained from the lemon peel ,عصير ليمون,"هو عصير مصنوع من الليمون. يتميز عصير الليمون بطعمه الحامض. يستخدم عصير الليمون في مجموعة متنوعة من الأطباق، مثل السلطات والمشروبات والحلويات."
lemon_extract, a flavoring made from (or imitating) lemons ,GAP,
mocha, a flavoring made from coffee mixed with chocolate ,موجا, هو نوع من القهوة مصنوع من مزيج من الإسبريسو والحليب المكثف والشوكولاتة. يتميز الموجا بطعمه الحلو والكريمي.
"monosodium_glutamate, msg", white crystalline compound used as a food additive to enhance flavor; often used in Chinese cooking ,GAP,
mustard_seed, black or white seeds ground to make mustard pastes or powders ,بذور خردل," هي بذور صغيرة سوداء أو بنية اللون تنتجها نبتة الخردل. تحتوي بذور الخردل على طعم حار ورائحة مميزة. تستخدم بذور الخردل في مجموعة متنوعة من الأطباق، مثل السلطات والشوربات واليخنات والسندويشات."
nasturtium, flowers and seeds and leaves all used as flavorings ,GAP,
spanish_paprika, a mild seasoning made from a variety of pimiento grown in Spain ,GAP,
paprika, a mild powdered seasoning made from dried pimientos ,بابريكا,بهار مسحوق مصنوع من الفلفل الأحمر المجفف
onion_salt, ground dried onion and salt ,GAP,
"pepper, peppercorn", sweet and hot varieties of fruits of plants of the genus Capsicum ,"فلفل حلو، فلفل رومي","نوع من أنواع الخضروات التي تنتمي إلى الفصيلة الباذنجانية. ويعرف أيضا باسم ""الفلفل البارد"". يتميز الفلفل الحلو بطعمه الحلو، وتحتوي على نسبة عالية من الفيتامينات والمعادن."
