Lemma,Gloss,Indonesian lemmas (or gap),Indonesian Gloss
root,(botany) the usually underground organ that lacks buds or leaves or nodes; absorbs water and mineral salts; usually it anchors the plant to the ground,akar,bagian tumbuh-tumbuhan yg masuk ke tanah sbg alat penguat dan pengisap air dan zat makanan
line,a length (straight or curved) without breadth or thickness; the trace of a moving point,garis,"coret panjang (lurus, bengkok atau lengkung)"
belt,a band to tie or buckle around the body (usually at the waist),sabuk,ikat pinggang
"stomach, tummy, tum, breadbasket",an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion,perut,
hook,a curved or bent implement for suspending or pulling something,kait,"besi (kawat dsb) yg ujungnya melentuk (spt gancu, seruit, sanggamara)"
"gold, au, atomic number 79",a soft yellow malleable ductile (trivalent and univalent) metallic element; occurs mainly as nuggets in rocks and alluvial deposits; does not react with most chemicals but is attacked by chlorine and aqua regia,emas,"logam mulia (logam yg mahal harganya, berwarna kuning mengkilap biasa dibuat perhiasan spt cincin, kalung)"
wolf,any of various predatory carnivorous canine mammals of North America and Eurasia that usually hunt in packs,serigala,binatang liar yg bentuknya spt anjing dan warna bulunya kuning kelabu
"design, pattern, figure",a decorative or artistic work,desain; motif; corak,hasil karya dekoratif atau artistik
"wife, married woman",a married woman; a man's partner in marriage,istri,wanita (perempuan) yg telah bersuami
blood,the fluid (red in vertebrates) that is pumped by the heart,darah,cairan berwarna merah yg mengalir dl pembuluh darah manusia atau binatang
"iron, fe, atomic number 26",a heavy ductile magnetic metallic element; is silver-white in pure form but readily rusts; used in construction and tools and armament; plays a role in the transport of oxygen by the blood,besi,"logam yg keras dan kuat serta banyak sekali gunanya (sbg bahan pembuat senjata, mesin-mesin, dsb)"
"blade, leaf blade",especially a leaf of grass or the broad portion of a leaf as distinct from the petiole,helai daun,lembaran dari daun
"part, portion",something less than the whole of a human artifact,bagian,sesuatu yang kurang dari total dari suatu benda
"language, linguistic communication",a systematic means of communicating by the use of sounds or conventional symbols,bahasa,sistem lambang bunyi berartikulasi yg bersifat sewenang-wenang dan konvensional yg dipakai sbg alat komunikasi untuk melahirkan perasaan dan pikiran
"topic, subject, issue, matter",some situation or event that is thought about,topik,"pokok pembicaraan dl diskusi, ceramah, karangan, dsb"
fox,alert carnivorous mammal with pointed muzzle and ears and a bushy tail; most are predators that do not hunt in packs,rubah,"binatang jenis anjing, bermoncong panjang, makanannya daging, ikan, dsb"
circle,something approximating the shape of a circle,lingkaran; bundar,"bentuk melengkung yg kedua ujungnya bertemu, dng jarak yg sama dr titik pusat"
"tear, teardrop",a drop of the clear salty saline solution secreted by the lacrimal glands,air mata,cairan yang dikeluarkan dari mata
word,a unit of language that native speakers can identify,kata,unsur bahasa yg diucapkan atau dituliskan yg merupakan perwujudan kesatuan perasaan dan pikiran yg dapat digunakan dl berbahasa
truth,a fact that has been verified,kenyataan,hal yg nyata; yg benar-benar ada
"cat, true cat",feline mammal usually having thick soft fur and no ability to roar: domestic cats; wildcats,kucing,binatang piaraan yg rupanya mirip harimau kecil
"birch, birch tree",any betulaceous tree or shrub of the genus Betula having a thin peeling bark,GAP,
"woman, adult female",an adult female person (as opposed to a man),wanita,perempuan dewasa
path,a way especially designed for a particular use,jalur,
"foe, enemy",a personal enemy,musuh,"lawan berkelahi (bertengkar, berperang, berjudi, bertanding, dsb)"
"silver, ag, atomic number 47",a soft white precious univalent metallic element having the highest electrical and thermal conductivity of any metal; occurs in argentite and in free form; used in coins and jewelry and tableware and photography,perak,
house,a dwelling that serves as living quarters for one or more families,rumah,bangunan untuk tempat tinggal
sand,a loose material consisting of grains of rock or coral,pasir,
"foreman, chief, gaffer, honcho, boss",a person who exercises control over workers,mandor,kepala atau pengawas pekerja (biasanya untuk kerja kasar)
"chill, iciness, gelidity",coldness due to a cold environment,dingin,suhu rendah karena cuaca
"vein, vena, venous blood vessel",a blood vessel that carries blood from the capillaries toward the heart,pembuluh darah,urat tempat darah mengalir
monkey,any of various long-tailed primates (excluding the prosimians),monyet,"kera berbulu keabuabuan, berekor panjang, muka dan telapak tangan serta kaki tidak berbulu"
bear,massive plantigrade carnivorous or omnivorous mammals with long shaggy coats and strong claws,beruang,"binatang buas jenis Ursus, berbulu tebal, dapat berdiri di atas kedua kakinya, mempunyai cakar, dan bermoncong panjang"
"luminosity, brightness, brightness level, luminance, luminousness, light",the quality of being luminous; emitting or reflecting light,kecerahan,tingkat cerah suatu benda
spider,predatory arachnid that usually has silk-spinning organs at the back end of the body; they spin silk to make cocoons for eggs or traps for prey,laba-laba,"serangga besar, berkaki delapan, berwarna abu-abu kehitam-hitaman, menjalin sarang berupa jaring dr zat yg keluar dr perutnya yg berfungsi untuk menangkap mangsanya"
"grief, sorrow",something that causes great unhappiness,duka,susah hati; sedih hati
"idea, thought",the content of cognition; the main thing you are thinking about,"ide, pikiran",rancangan yg dl pikiran
"state, province",the territory occupied by one of the constituent administrative districts of a nation,provinsi,
"blanket, cover",bedding that keeps a person warm in bed,selimut,kain penutup tubuh (terutama dipakai pd waktu tidur)
"willow, willow tree",any of numerous deciduous trees and shrubs of the genus Salix,GAP,
corner,the point where three areas or surfaces meet or intersect,sudut,bangun yg dibuat oleh dua garis yg berpotongan di sekitar titik potongnya
"kind, sort, form, variety",a category of things distinguished by some common characteristic or quality,jenis,
friend,a person you know well and regard with affection and trust,teman,kawan; sahabat
"idol, graven image, god",a material effigy that is worshipped,pujaan,
tip,the extreme end of something; especially something pointed,ujung,"bagian barang yg runcing (lancip, tajam, dsb)"
weight,the vertical force exerted by a mass as a result of gravity,berat,"besarnya tekanan suatu benda bila diangkat, ditimbang, dsb"
hay,grass mowed and cured for use as fodder,jerami,
town,an urban area with a fixed boundary that is smaller than a city,GAP,
spade,a sturdy hand shovel that can be pushed into the earth with the foot,sungkur,"alat yang terutama digunakan untuk menggali, terdiri dari gagang dan bilah yang panjang, biasanya dengan bilah yang lebih sempit dan rata dibandingkan sekop pada umumnya"
strength,the property of being physically or mentally strong,kekuatan,
"village, hamlet",a settlement smaller than a town,desa; kampung; desa,sekelompok rumah di luar kota yg merupakan kesatuan
boat,a small vessel for travel on water,perahu,
"pipe, tube",a hollow cylindrical shape,pipa,
"longing, yearning, hungriness",prolonged unfulfilled desire or need,rindu,sangat ingin dan berharap benar thd sesuatu
bark,tough protective covering of the woody stems and roots of trees and other woody plants,kulit kayu,lapisan luar batang pohon yang sering digunakan untuk bahan pembuat pakaian dan perabot rumah tangga
branch,"a division of a stem, or secondary stem arising from the main stem of a plant",ranting,
"periphery, fringe, outer boundary",the outside boundary or surface of something,ujung,bagian yg penghabisan dr suatu benda
"branchlet, twig, sprig",a small branch or division of a branch (especially a terminal division); usually applied to branches of the current or preceding year,ranting,
"voice, vocalization, vocalisation, vocalism, phonation, vox",the sound made by the vibration of vocal folds modified by the resonance of the vocal tract,suara,"bunyi yg dikeluarkan dr mulut manusia (spt pd waktu bercakap-cakap, menyanyi, tertawa, dan menangis)"
"charcoal, wood coal",a carbonaceous material obtained by heating wood or other organic matter in the absence of air,arang,barang yg hitam warnanya dibuat atau terjadi dr kayu yg terbakar lalu dipengap (untuk bahan bakar)
"chicken, gallus gallus",a domestic fowl bred for flesh or eggs; believed to have been developed from the red jungle fowl,ayam,"unggas yg biasa diternakkan, tidak dapat terbang, yg jantan berkokok dan yg betina berkotek"
"trunk, tree trunk, bole",the main stem of a tree; usually covered with bark; the bole is usually the part that is commercially useful for lumber,dahan,bagian batang pohon yg tumbuh beranting dan berdaun
"cock, rooster",adult male chicken,ayam jago,
"salt, table salt, common salt",white crystalline form of especially sodium chloride used to season and preserve food,garam,"zat berwarna putih, berasa asin, dapat larut dl air"
"doll, dolly",a small replica of a person; used as a toy,boneka,tiruan anak untuk permainan; anak-anakan
wing,a movable organ for flying (one of a pair),sayap,bagian tubuh beberapa binatang (burung dsb) yg digunakan untuk terbang
space,an empty area (usually bounded in some way between things),ruang; jarak,rongga yg berbatas atau terlingkung oleh bidang
"battle, conflict, fight, engagement",a hostile meeting of opposing military forces in the course of a war,pertempuran,perkelahian yg hebat
"picture, image, icon, ikon",a visual representation (of an object or scene or person or abstraction) produced on a surface,gambar,"tiruan barang (orang, binatang, tumbuhan, dsb) yg dibuat dng coretan pensil dsb pd kertas dsb"
"smoke, smoking",a hot vapor containing fine particles of carbon being produced by combustion,asap,"gas yg tampak keluar dr sesuatu yg panas, mendidih, atau dibakar"
claw,sharp curved horny process on the toe of a bird or some mammals or reptiles,cakar,"kuku yg panjang dan tajam (pd harimau, kucing)"
boot,footwear that covers the whole foot and lower leg,sepatu bot,"sepatu yg membungkus kaki hingga di bawah lutut, dibuat dr karet, kulit, dsb"
fish,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills,ikan,"binatang bertulang belakang yg hidup dl air, bernapas dng insang"
tail,the posterior part of the body of a vertebrate especially when elongated and extending beyond the trunk or main part of the body,ekor,"bagian tubuh binatang dsb yg paling belakang, baik berupa sambungan dr tulang punggung ataupun sbg lekatan"
"lie, prevarication",a statement that deviates from or perverts the truth,dusta; bohong,perkataan yang tidak benar
spoon,a piece of cutlery with a shallow bowl-shaped container and a handle; used to stir or serve or take up food,sendok,"alat yg digunakan sbg pengganti tangan dl mengambil sesuatu (spt nasi), bentuknya bulat, cekung, dan bertangkai (ada bermacam-macam, msl centong, sudip)"
"violence, force",an act of aggression (as one against a person who resists),kekerasan,tingkah agresi
"reason, ground",a rational motive for a belief or action,alasan,dasar bukti (keterangan) yg dipakai untuk menguatkan pendapat
"freeze, frost",weather cold enough to cause freezing,(udara/cuaca) beku,cuaca yang sangat dingin sehingga dapat menyebabkan pembekuan
pillow,a cushion to support the head of a sleeping person,bantal,"pundi-pundi yg diisi kapuk atau benda lunak lainnya, berfungsi untuk ganjal kepala, alas duduk, atau sandaran punggung"
bow,curved piece of resilient wood with taut cord to propel arrows,busur,"bilah kayu, bambu, dsb yg direntangkan dng tali untuk melepaskan anak panah"
"war, warfare",the waging of armed conflict against an enemy,perang,
box,a (usually rectangular) container; may have a lid,kotak,"peti kecil tempat barang-barang perhiasan, barang kecil, dsb"
work,activity directed toward making or doing something,tugas,yg wajib dikerjakan atau yg ditentukan untuk dilakukan; pekerjaan yg menjadi tanggung jawab seseorang
"company, companionship, fellowship, society",the state of being with someone,kebersamaan,hal bersama
conversation,the use of speech for informal exchange of views or ideas or information etc.,percakapan; pembicaraan,"komunikasi melalui suara untuk menukar ide, pemikiran, informasi, dan lainnya"
"grandfather, gramps, granddad, grandad, granddaddy, grandpa",the father of your father or mother,kakek,bapak dr ayah atau ibu
"grandma, grandmother, granny, grannie, gran",the mother of your father or mother,nenek,ibu dr ayah atau ibu
staff,a strong rod or stick with a specialized utilitarian purpose,tongkat,"sepotong bambu (rotan, kayu, dsb) yg agak panjang (untuk menopang atau pegangan ketika berjalan, menyokong, dsb)"
"bay, embayment",an indentation of a shoreline larger than a cove but smaller than a gulf,teluk,bagian laut yg menjorok ke darat
fog,droplets of water vapor suspended in the air near the ground,kabut,awan yang melayang dekat tanah
"guest, invitee",a visitor to whom hospitality is extended,tamu,orang yg datang berkunjung (melawat dsb) ke tempat orang lain atau ke perjamuan
"brain, encephalon",that part of the central nervous system that includes all the higher nervous centers; enclosed within the skull; continuous with the spinal cord,otak,benda putih yg lunak di dl tengkorak yg menjadi pusat saraf
"puzzle, puzzler, mystifier, teaser",a particularly baffling problem that is said to have a correct solution,teka teki,permasalah untuk mengasah pikiran yang solusinya telah diketahui
fault,responsibility for a bad situation or event,salah,tanggung jawab atas situasi yang tidak diinginkan
"egg, eggs",oval reproductive body of a fowl (especially a hen) used as food,telur,"benda bercangkang yg mengandung zat hidup bakal anak yg dihasilkan oleh unggas (ayam, itik, burung, dsb), biasanya dimakan (direbus, diceplok, didadar, dsb)"
count,the total number counted,hitungan,
"bridge, span",a structure that allows people or vehicles to cross an obstacle such as a river or canal or railway etc.,jembatan,
cuckoo,any of numerous European and North American birds having pointed wings and a long tail,GAP,
"bird louse, biting louse, louse",wingless insect with mouth parts adapted for biting; mostly parasitic on birds,kutu,"insek parasit tidak bersayap yg mengisap darah binatang atau manusia (spt - ayam, -- anjing)"
"brook, creek",a natural stream of water smaller than a river (and often a tributary of a river),anak sungai,
"joy, joyousness, joyfulness",the emotion of great happiness,"bahagia, kebahagiaan",keadaan atau perasaan senang tenteram (bebas dr segala yg menyusahkan)
milk,a white nutritious liquid secreted by mammals and used as food by human beings,susu,"air yg keluar dr buah dada mamalia, dapat digunakan sebagai bahan makanan"
cave,a geological formation consisting of an underground enclosure with access from the surface of the ground or from the sea,gua,liang atau lubang besar pd kaki gunung
fly,two-winged insects characterized by active flight,lalat,binatang kecil berasal dr bernga
sign,a public display of a (usually written) message,tanda,pesan (tertulis) yang ditampilkan ke umum
"kettle, boiler",a metal pot for stewing or boiling; usually has a lid,ketel; cerek,kuali logam untuk menanak nasi atau merebus makanan
"crisscross, cross, mark",a marking that consists of lines that cross each other,silang,"tanda yg berupa satu garis dipotong garis yg lain, spt X"
cloud,a visible mass of water or ice particles suspended at a considerable altitude,awan,uap air yg tampak bergumpal-gumpal melayang di udara
butter,an edible emulsion of fat globules made by churning milk or cream; for cooking and table use,mentega,"lemak kental, lunak, terbuat dr susu (biasa dipakai untuk membuat kue, memasak, atau untuk kelengkapan makan roti)"
broom,a cleaning implement for sweeping; bundle of straws or twigs attached to a long handle,sapu,"alat rumah tangga dibuat dr ijuk (lidi, sabut, dsb) yg diikat menjadi berkas, diberi tangkai pendek atau panjang untuk membersihkan debu, sampah, dsb"
"aunt, auntie, aunty",the sister of your father or mother; the wife of your uncle,tante; bibi,saudara perempuan ayah atau ibu; istri dari paman
"troop, flock",an orderly crowd,pasukan,
stroke,a mark made by a writing implement (as in cursive writing),goresan,hasil goresan dari alat menulis (seperti tulisan bersambung)
stick,a long thin implement resembling a length of wood,tongkat,"sepotong bambu (rotan, kayu, dsb) yg agak panjang (untuk menopang atau pegangan ketika berjalan, menyokong, dsb)"
"bucket, pail",a roughly cylindrical vessel that is open at the top,ember,"tempat air (terbuat dr plastik, seng, dsb) untuk menimba air dsb"
perch,any of numerous spiny-finned fishes of various families of the order Perciformes,kerakap,
"edge, margin",a strip near the boundary of an object,ujung,bagian dekat batas dari sebuah benda
"animation, life, living, aliveness",the condition of living or the state of being alive,hidup; kehidupan,cara atau hal hidup sehidup
mosquito,two-winged insect whose female has a long proboscis to pierce the skin and suck the blood of humans and animals,nyamuk,"serangga kecil bersayap, yg betina memiliki sepasang sungut yg dipakai sbg pengisap darah manusia dan binatang, bertelur di air yg tergenang"
pole,a long (usually round) rod of wood or metal or plastic,galah,"tongkat panjang, biasanya dibuat dr bambu atau kayu"
pike,any of several elongate long-snouted freshwater game and food fishes widely distributed in cooler parts of the northern hemisphere,GAP,
knife,edge tool used as a cutting instrument; has a pointed blade with a sharp edge and a handle,pisau,
"meaning, substance",the idea that is intended,arti; makna,ide yang dimaksud
size,the physical magnitude of something (how big it is),ukuran,
"bundle, sheaf",a package of several things tied together for carrying or storing,bundel,kumpulan beberapa benda yang sejenis diikat menjadi satu
honey,a sweet yellow liquid produced by bees,madu,cairan yang banyak mengandung zat gula yang terdapat pd sarang lebah atau bunga (rasanya manis)
knot,any of various fastenings formed by looping and tying a rope (or cord) upon itself or to another rope or to another object,ikatan,jenis-jenis mengikat pada tali
wood,the hard fibrous lignified substance under the bark of trees,kayu,"bagian batang (cabang, dahan, dsb) pohon yg keras (yg biasa dipakai untuk bahan bangunan, dsb)"
"stove, kitchen stove, range, kitchen range, cooking stove",a kitchen appliance used for cooking food,kompor,"anglo (perapian) untuk memasak, yg menggunakan minyak tanah dsb, sebagai bahan bakar"
duck,small wild or domesticated web-footed broad-billed swimming bird usually having a depressed body and short legs,bebek; itik,"unggas yg hidup di darat, pandai berenang, badannya spt angsa, tetapi lebih kecil"
"board, plank",a stout length of sawn timber; made in a wide variety of sizes and used for many purposes,papan,
ladder,steps consisting of two parallel members connected by rungs; for climbing up or down,tangga,"tumpuan untuk naik turun dibuat dr kayu (papan, batu, dsb) bersusun berlenggek-lenggek"
"strap, shoulder strap",a band that goes over the shoulder and supports a garment or bag,tali,bagian dari tas atau sejenisnya yang digunakan untuk menyokong tas dari bahu
"foam, froth",a mass of small bubbles formed in or on a liquid,busa; buih,gelembung-gelembung putih kecil-kecil (spt pd sabun dsb)
wool,fiber sheared from animals (such as sheep) and twisted into yarn for weaving,wol,"bulu binatang yg halus; bulu domba untuk bahan pakaian (baju hangat, jas, celana) dsb"
"food, solid food",any solid substance (as opposed to liquid) that is used as a source of nourishment,makanan,zat padat yang dapat dimakan
dish,a particular item of prepared food,makanan,"segala apa yg boleh dimakan (spt lauk-pauk, kue-kue)"
"character, grapheme, graphic symbol",a written symbol that is used to represent speech,karakter,simbol tertulis yang digunakan untuk merepresentasikan ucapan
pot,metal or earthenware cooking vessel that is usually round and deep; often has a handle and lid,panci,
button,a round fastener sewn to shirts and coats etc to fit through buttonholes,kancing,"alat untuk menutup bagian pakaian (baju, celana, dsb) yg harus ditutup"
memory,something that is remembered,memori; ingatan,
"string, twine",a lightweight cord,senar,tali yang tipis dan ringan
"rain, rainfall",water falling in drops from vapor condensed in the atmosphere,hujan,titik-titik air yg berjatuhan dr udara krn proses pengembunan
pouch,a small or medium size container for holding or carrying things,kantung,
"fever, febrility, febricity, pyrexia, feverishness",a rise in the temperature of the body; frequently a symptom of infection,demam,"panas badannya (suhu badan lebih tinggi dr biasanya, kebanyakan krn sakit)"
"ant, emmet, pismire",social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers,semut,"serangga kecil yg berjalan merayap, hidup secara bergerombol"
leather,an animal skin made smooth and flexible by removing the hair and then tanning,kulit,pemalut tubuh binatang yg telah dikeringkan atau disamak (sbg bahan sepatu dsb)
goose,web-footed long-necked typically gregarious migratory aquatic birds usually larger and less aquatic than ducks,soang,
shadow,shade within clear boundaries,bayangan,bayang-bayang
call,a request,panggilan,
hole,an opening into or through something,lubang,perbukaan untuk atau melalui sesuatu
"happiness, felicity",state of well-being characterized by emotions ranging from contentment to intense joy,kebahagiaan; bahagia,keadaan atau perasaan senang tenteram (bebas dr segala yg menyusahkan)
swan,stately heavy-bodied aquatic bird with very long neck and usually white plumage as adult,angsa,unggas sejenis itik besar berleher panjang
"snow, snowfall",precipitation falling from clouds in the form of ice crystals,hujan salju,"jatuhnya salju dari langit-langit, seperti hujan"
book,a written work or composition that has been published (printed on pages bound together),buku,"lembaran kertas yg berjilid, berisi tulisan atau kosong"
island,a land mass (smaller than a continent) that is surrounded by water,pulau,
"husband, hubby, married man",a married man; a woman's partner in marriage,suami,pria yg menjadi pasangan hidup resmi seorang perempuan (istri)
"area, expanse, surface area",the extent of a 2-dimensional surface enclosed within a boundary,luas,"ukuran panjang lebarnya suatu bidang (lapangan, ruangan, dsb)"
"meal, repast",the food served and eaten at one time,makanan,
length,the linear extent in space from one end to the other; the longest horizontal dimension of something that is fixed in place,panjang,
"distance, length",size of the gap between two places,jarak,
"head, caput",the upper part of the human body or the front part of the body in animals; contains the face and brains,kepala,"bagian tubuh yg di atas leher (pd manusia dan beberapa jenis hewan merupakan tempat otak, pusat jaringan saraf, dan beberapa pusat indria)"
lake,a body of (usually fresh) water surrounded by land,danau,genangan air yg amat luas yg dikelilingi daratan
ash,the residue that remains when something is burned,abu,sisa yg tinggal setelah suatu barang mengalami pembakaran lengkap
"land, ground, soil",material in the top layer of the surface of the earth in which plants can grow (especially with reference to its quality or use),tanah,"bahan-bahan dr bumi; bumi sbg bahan sesuatu (pasir, napal, cadas, dsb)"
"leash, tether, lead",restraint consisting of a rope (or light chain) used to restrain an animal,kekang,tali (kulit dsb) untuk mengendalikan kuda
jaw,the part of the skull of a vertebrate that frames the mouth and holds the teeth,rahang,"kedua bagian tulang, atas dan bawah dl rongga mulut tempat gigi tumbuh"
"height, tallness",the vertical dimension of extension; distance from the base of something to the top,tinggi; ketinggian,hal (keadaan dsb) tinggi
mainland,the main land mass of a country or continent; as distinguished from an island or peninsula,daratan,"bagian utama dari suatu teritori, dibandingkan dengan pulau-pulau lainnya"
"neck, cervix",the part of an organism that connects the head to the rest of the body,leher,bagian tubuh yg menghubungkan kepala dng tubuh (terutama di sebelah depan)
"nape, scruff, nucha",the back side of the neck,tengkuk,leher bagian belakang
"throat, pharynx",the passage to the stomach and lungs; in the front part of the neck below the chin and above the collarbone,tenggorokan,bagian saluran napas atas antara laring dan percabangan bronkus
support,supporting structure that holds up or provides a foundation,penyangga,sesuatu yg digunakan untuk menyangga (menopang dsb)
gift,something acquired without compensation,hadiah,sesuatu yang didapatkan tanpa balasan
soup,liquid food especially of meat or fish or vegetable stock often containing pieces of solid food,sup,"masakan berkuah dr kaldu yg diberi bumbu pala, lada, dsb"
shoulder,the part of the body between the neck and the upper arm,bahu; pundak,antara leher dan pangkal lengan
"fabric, cloth, material, textile",artifact made by weaving or felting or knitting or crocheting natural or synthetic fibers,kain,barang tenunan pd umumnya
"benefit, welfare",something that aids or promotes well-being,bantuan,
"weather, weather condition, atmospheric condition",the meteorological conditions: temperature and wind and clouds and precipitation,cuaca,"keadaan udara (tt temperatur, cahaya matahari, kelembapan, kecepatan angin) pd suatu tempat tertentu dng waktu tertentu"
lid,a movable top or cover (hinged or separate) for closing the opening of a container,tutup,benda yg menjadi alat untuk membatasi suatu tempat sehingga tidak terlihat isinya
"wind, air current, current of air",air moving (sometimes with considerable force) from an area of high pressure to an area of low pressure,angin,udara yg bergerak
"thorax, chest, pectus",the part of the human torso between the neck and the diaphragm or the corresponding part in other vertebrates,dada,bagian tubuh sebelah depan di antara perut dan leher
cap,a tight-fitting headdress,topi,tudung kepala
"moor, moorland",open land usually with peaty soil covered with heather and bracken and moss,GAP,
"breast, bosom, knocker, boob, tit, titty",either of two soft fleshy milk-secreting glandular organs on the chest of a woman,payudara; buah dada,
"mountain, mount",a land mass that projects well above its surroundings; higher than a hill,gunung,bukit yg sangat besar dan tinggi (biasanya tingginya lebih dr 600 m)
"navel, umbilicus, bellybutton, omphalos, omphalus",scar where the umbilical cord was attached,pusar,
bird,warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings,burung; unggas,"binatang berkaki dua, bersayap dan berbulu, dan biasanya dapat terbang"
"abdomen, venter, stomach, belly",the region of the body of a vertebrate between the thorax and the pelvis,perut,
"natural elevation, elevation",a raised or elevated geological formation,perbukitan,tanah yg berbukit-bukit
"back, dorsum",the posterior part of a human (or animal) body from the neck to the end of the spine,punggung,
nest,a structure in which animals lay eggs or give birth to their young,sarang,"tempat yg dibuat atau yg dipilih oleh binatang unggas, spt burung, untuk bertelur dan memiara anaknya"
leg,a structure in animals that is similar to a human leg and used for locomotion,kaki,bagian utama dari hewan yang digunakan untuk bergerak
thigh,the part of the leg between the hip and the knee,paha,
"fairytale, fairy tale, fairy story",a story about fairies; told to amuse children,dongeng,"cerita yg tidak benar-benar terjadi, biasanya diceritakan untuk anak-anak"
"hide, pelt, skin",body covering of a living animal,kulit,bagian yang menutupi hewan hidup
"foot, human foot, pes",the part of the leg of a human being below the ankle joint,kaki,anggota badan yg menopang tubuh dan dipakai untuk berjalan (dr pangkal paha ke bawah)
arm,a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb,lengan,anggota badan dr pergelangan tangan sampai ke bahu
"feather, plume, plumage",the light horny waterproof structure forming the external covering of birds,bulu,kumpulan rambut banyak dan bertangkai spt pd burung
"cargo, lading, freight, load, loading, payload, shipment, consignment",goods carried by a large vehicle,kargo,"muatan barang-barang yg diangkut kapal laut, pesawat udara, dan alat pengangkut yg lain"
"hand, manus, mitt, paw",the (prehensile) extremity of the superior limb,tangan,anggota badan dr siku sampai ke ujung jari atau dr pergelangan sampai ujung jari
"palm, thenar",the inner surface of the hand from the wrist to the base of the fingers,telapak tangan,bidang tangan sebelah bawah
"opening, gap",an open or empty space in or between things,sela; celah,tempat (ruang) di antara dua benda (barang)
finger,any of the terminal members of the hand (sometimes excepting the thumb),jari,
"fence, fencing",a barrier that serves to enclose an area,pagar,
"day, twenty-four hours, twenty-four hour period, 24-hour interval, solar day, mean solar day",time for Earth to make a complete rotation on its axis,hari,"waktu dr pagi sampai pagi lagi (yaitu satu putaran bumi pd sumbunya, 24 jam)"
"part, piece",a portion of a natural object,bagian,
"brother, blood brother",a male with the same parents as someone else,GAP,
table,a piece of furniture having a smooth flat top that is usually supported by one or more vertical legs,meja,perkakas (perabat) rumah yg mempunyai bidang datar sbg daun mejanya dan berkaki sbg penyangga (bermacam-macam bentuk dan gunanya)
"sleep, slumber",a natural and periodic state of rest during which consciousness of the world is suspended,tidur,dl keadaan berhenti (mengaso) badan dan kesadarannya (biasanya dng memejamkan mata)
"pit, cavity",a sizeable hole (usually in the ground),lubang,
laughter,the activity of laughing; the manifestation of joy or mirth or scorn,tawa,"ungkapan rasa gembira, senang, geli, dsb dng mengeluarkan suara (pelan, sedang, keras) melalui alat ucap"
"knee, knee joint, human knee, articulatio genus, genu",hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella,lutut,(bagian kaki) pertemuan antara paha dan betis yg bisa dilekukkan
precipice,a very steep cliff,tebing; jurang,tepi tanah darat yg tinggi dan terjal
walk,the act of walking somewhere,jalan,
"sunday, lord's day, dominicus, sun",first day of the week; observed as a day of rest and worship by most Christians,minggu; ahad,hari ke satu
"tuesday, tues",the third day of the week; the second working day,selasa,hari ke-3 dl jangka waktu satu minggu
"monday, mon",the second day of the week; the first working day,senin,hari ke-2 dl jangka waktu satu minggu
"thursday, th",the fifth day of the week; the fourth working day,kamis,hari ke-5 dl jangka waktu satu minggu
"wednesday, midweek, wed",the fourth day of the week; the third working day,rabu,hari ke-4 dl jangka waktu satu minggu
lock,a fastener fitted to a door or drawer to keep it firmly closed,kunci,"benda yang digunakan untuk menjaga pintu, laci, atau sejenisnya agar tidak bisa dibuka"
"saturday, sabbatum, sat",the seventh and last day of the week; observed as the Sabbath by Jews and some Christians,sabtu,hari ke-7 dl jangka waktu satu minggu
"friday, fri",the sixth day of the week; the fifth working day,jumat,hari ke-6 dl jangka waktu satu minggu
"noon, twelve noon, high noon, midday, noonday, noontide",the middle of the day,tengah hari,
"morning, morn, morning time, forenoon",the time period between dawn and noon,pagi,
rainbow,an arc of colored light in the sky caused by refraction of the sun's rays by rain,pelangi,
toe,one of the digits of the foot,jari kaki,
"evening, eve, even, eventide",the latter part of the day (the period of decreasing daylight from late afternoon until nightfall),sore; petang,
"night, nighttime, dark",the time after sunset and before sunrise while it is dark outside,malam,waktu setelah matahari terbenam hingga matahari terbit
heel,the back part of the human foot,tumit,"bagian telapak kaki sebelah belakang, di bawah mata kaki"
"king, male monarch, rex",a male sovereign; ruler of a kingdom,raja,penguasa tertinggi dr suatu negara (terutama yg diperoleh sbg warisan)
"elbow, elbow joint, human elbow, cubitus, cubital joint, articulatio cubiti",hinge joint between the forearm and upper arm and the corresponding joint in the forelimb of a quadruped,siku,sendi tangan antara lengan atas dan lengan bawah
"address, speech",the act of delivering a formal spoken communication to an audience,pidato,
"ribbon, thread",any long object resembling a thin line,pita,jalur (kain dan sebagainya) yang panjang
"week, hebdomad",any period of seven consecutive days,minggu; pekan,jangka waktu yg lamanya tujuh hari
nail,horny plate covering and protecting part of the dorsal surface of the digits,kuku,"bagian ujung kaki kuda, kerbau, dsb yg besar dan keras (terbentuk dr zat tanduk)"
"hunger, hungriness",a physiological need for food; the consequence of food deprivation,lapar,dl keadaan lapar krn kurang makan
river,a large natural stream of water (larger than a creek),sungai,aliran air yg besar (biasanya buatan alam)
"rock, stone",a lump or mass of hard consolidated mineral matter,batu,"benda keras dan padat yg berasal dr bumi atau planet lain, tetapi bukan logam"
